date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
2013-10-13,9,13,17,30,35,39,
2013-10-20,6,11,19,20,37,40,
2013-10-27,10,12,17,20,36,41,
2013-11-03,15,24,25,32,39,49,
2013-11-10,4,7,15,22,25,46,
2013-11-17,21,23,25,28,36,44,
2013-11-24,1,25,35,40,42,47,
2013-12-01,2,8,25,26,39,48,
2013-12-08,9,14,18,22,32,40,
2013-12-15,8,9,18,34,35,40,
2013-12-22,3,10,13,22,45,48,
2013-12-30,3,5,9,11,30,34,
2014-01-05,4,10,25,33,45,48,
2014-01-12,4,7,24,32,39,43,
2014-01-19,4,27,29,30,34,48,
2014-01-26,6,8,25,29,34,38,
2014-02-02,12,13,25,30,37,46,
2014-02-09,1,9,17,20,22,49,
2014-02-16,1,4,23,29,31,49,
2014-02-23,11,16,27,31,33,44,
2014-03-02,6,13,21,24,37,39,
2014-03-09,5,11,15,22,44,47,
2014-03-16,8,12,22,31,36,44,
2014-03-23,2,9,18,23,32,33,
2014-03-30,5,21,33,35,40,45,
2014-04-06,5,6,11,14,33,49,
2014-04-13,1,5,8,15,30,48,
2014-04-20,3,5,9,26,42,44,
2014-04-27,3,15,23,28,35,38,
2014-05-04,6,15,20,30,44,49,
2014-05-11,6,7,17,37,43,46,
2014-05-18,6,9,19,31,36,47,
2014-05-25,3,29,33,37,43,44,
2014-06-01,7,31,32,35,43,44,
2014-06-08,2,5,22,27,30,41,
2014-06-15,1,17,23,28,43,47,
2014-06-22,11,14,16,24,41,44,
2014-06-29,2,7,12,17,18,35,
2014-07-06,11,13,21,30,39,47,
2014-07-13,13,21,26,27,31,33,
2014-07-20,2,5,12,14,38,48,
2014-07-27,11,12,30,32,45,48,
2014-08-03,1,4,29,30,43,47,
2014-08-10,22,27,31,37,45,47,
2014-08-17,1,11,15,17,21,35,
2014-08-24,18,19,21,27,38,45,
2014-08-31,13,27,29,33,39,40,
2014-09-07,3,22,26,28,39,45,
2014-09-14,12,19,22,23,32,44,
2014-09-21,1,19,32,33,42,47,
2014-09-28,4,11,19,20,24,41,
2014-10-05,12,15,22,25,31,32,
2014-10-12,17,23,24,32,45,49,
2014-10-19,1,6,13,15,19,25,
